Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,source_file,Col_26,Col_27,Col_28,Col_29
교보라이프플래닛생명,(무)교보라플 2대질병보험(해약환급금 미지급형),주계약,뇌출혈 진단보험금 + 뇌출혈 진단보험금 + 뇌출혈 진단보험금,"피보험자가 보험기간 중 보장개시일 이후에 「뇌출혈」로 진단 확정되었을 경우 (다만, 최초 1회의 진단 확정에 한함)","479,173 원",12 원,"122,850 원","95,580 원",2.50 %,-,-,111.0 %,107.7 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-04-01,"1. 가입나이 : 만 19세 ~ 최대 60세 2. 보험기간 : 80세/90세/100세만기 3. 보험료 예시 기준 : 순수보장형, 보험가입금액 3,000만원, 40세, 80세만기, 20년납, 월납 4. 보험료 납입기간 : 20년/30년납, 전기납 5. 보험료 납입주기 : 월납 6. 가입한도 : 보험가입금액 최대 4,000만원 7. 보험가격지수 : 순수보장형, 보험가입금액 3,000만원, 40세, 80세만기, 20년납, 월납",1566-0999,file_12.xls,,,,
교보라이프플래닛생명,(무)교보라플 여성건강보험(순수보장형),주계약,3대암 진단보험금 + 3대암 진단보험금 + 3대암 진단보험금,"피보험자가 보험기간 중 ‘암보장개시일’ 이후에 「3대암」으로 진단 확정되었을 경우 (다만, 최초 1회의 진단 확정에 한함)","5,000,045 원",8 원,0 원,"105,360 원",2.25 %,-,-,-,125.9 %,-,-,-,-,기타,순수보장,비갱신형,비유니버셜,CM,2026-04-01,"1.가입나이 : 만 19세 ~ 최대 60세 2.보험기간 : 70세/80세/90세/100세만기 3.보험료 예시 기준 : 순수보장형, 보험가입금액 2,000만원, 40세, 80세만기, 20년납, 월납 4.보험료 납입주기 : 월납 5.보험료 납입기간 : 20년/30년납, 전기납 6.가입한도 : 보험가입금액 최대 2,000만원 7.보험가격지수 : 순수보장형, 보험가입금액 2,000만원, 40세, 80세만기, 20년납, 월납",1566-0999,file_12.xls,,,,
교보라이프플래닛생명,(무)교보라플 실속보험,주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 이 계약의 보험기간 중 「재해」를 직접적인 원인으로 사망 하였을 경우,보장금액의 100%(일반형 선택시),"모든 보장 선택시, 보장계약별 기준보장금액","27,432 원","21,558 원",2.25 %,-,-,139.1 %,132.7 %,-,-,-,-,기타,순수보장,비갱신형,비유니버셜,CM,2026-03-16,"1. 가입나이 : 만 19세 ~ 60세 2. 보험기간 : 1년, 2년 ,3년 만기 3. 보험료 예시 기준 : 모든 보장 선택시, 보장계약별 기준보장금액, 40세, 3년만기, 3년납, 월납 4. 보험료 납입기간 : 일시납, 전기납 5. 보험료 납입주기 : 일시납, 월납 6. 보험가격지수 : 40세, 3년만기, 전기납, 월납, 보험가입금액 10,000만원, 모든 보장 선택시, 보장계약별 기준보장금액",1566-0999,file_12.xls,,,,
교보라이프플래닛생명,(무)교보라플 여성건강보험(만기환급형),주계약,만기환급금 + 만기환급금 + 만기환급금,피보험자가 보험기간이 끝날 때까지 살아 있을 경우,이미 납입한 보험료 × 100%,"2,000만원",0 원,"227,040 원",2.25 %,-,-,-,108.0 %,-,-,-,-,기타,만기환급,비갱신형,비유니버셜,CM,2026-01-01,"1.가입나이 : 만 19세 ~ 최대 60세 2.보험기간 : 70세/80세/90세/100세만기 3.보험료 예시 기준 : 100%만기환급형, 보험가입금액 2,000만원, 40세, 80세만기, 20년납, 월납 4.보험료 납입주기 : 월납 5.보험료 납입기간 : 20년/30년납, 전기납 6.가입한도 : 보험가입금액 최대 2,000만원 7.보험가격지수 : 100%만기환급형, 보험가입금액 2,000만원, 40세, 80세만기, 20년납, 월납",1566-0999,file_12.xls,,,,
흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금,"피보험자가 암보장개시일 이후에 암으로 진단 확정되었을 때(다만, 최초 1회에 한함)",보험가입금액의 100%,"3,000만원","67,590 원","50,670 원",2.75 %,-,-,88.5 %,88.6 %,95.0 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2026-02-08,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 1종(해약환급금 미지급형V2), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원",file_13.xls,,,,
흥국생명,(무)흥국생명다재다능종합보험,주계약,암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금 + 암진단급여금 + 재해장해보험금,"피보험자가 암보장개시일 이후에 암으로 진단 확정되었을 때(다만, 최초 1회에 한함)",보험가입금액의 100%,"3,000만원","84,510 원","61,560 원",2.75 %,-,-,79.4 %,79.2 %,95.0 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,TM,2026-02-08,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 30세만기, 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원, 40세 남자, 10년만기, 전기납, 월납",file_13.xls,,,,
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당),주계약,재해골절수술보험금 + 재해골절수술보험금 + 재해골절수술보험금,"보험기간 중 재해로 인하여 ""재해 골절"" 상태가 되고, ""재해골절""의 직접적인 치료를 목적 으로 ""재해골절수술""을 받았을 때 (치아의 파절 제외) (단, 보험연도 기준 연 3회한)",1회당 5만원,"1,000만원","2,700 원","2,700 원",2.00 %,-,-,95.9 %,76.0 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널,2025-01-14,"□ 필수기재사항 1. 가입나이 : -1종(골절수술보장형), 2종(스포츠안심보장형) : 20세~만64세 -3종(어린이골절수술보장형): 0세~ 만13세 2. 보험기간 : 1년 3. 보험료 예시기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 남자, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시 기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 1년만기, 일시납",1588-3114,file_15.xls,,,,
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당),주계약,재해골절(치아파절제외) 진단보험금 + 재해골절(치아파절제외) 진단보험금 + 재해골절(치아파절제외) 진단보험금,"재해로 인하여 ""재해골절""상태가 되었을 때(발생 1회당) ※ 동일한 재해로 인하여 2가지 이상의 골절(복합골절)시 1회만 지급",10만원,"1,000만원","14,400 원","12,000 원",2.00 %,-,-,85.2 %,78.8 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입 나이 : 20세 ~ 만 64세 2. 보험 기간 : 1년 3. 보험료 예시 기준 : 납입기간 일시납, 40세, 가입금액 1,000만원 □ 선택기재사항 1. 가입한도 - 보험가입금액 : 500만원 ~ 1,000만원 2. 보험가격지수 예시기준 - 납입기간 일시납, 40세, 가입금액 1,000만원",1588-3114,file_15.xls,,,,
삼성생명,삼성 s교통상해보험(2501)(무배당),주계약,교통재해사망보험금 + 교통재해사망보험금 + 교통재해사망보험금,"보험기간 중 교통재해분류표에서 정하는 ""교통재해""로 인하여 사망하였을 경우","3,000만원","3,000만원","17,100 원","9,900 원",2.00 %,-,-,134.9 %,216.7 %,-,-,-,-,보험기간(1년 이하),순수보장,비갱신형,비유니버셜,대면채널,2025-01-14,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험) - 주계약 : 가입금액 3,000만원, 1년만기, 일시납 - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준 - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원, 40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",1588-3114,file_15.xls,,,,
흥국생명,(무)흥국생명 안심케어보험2603_2종 4형,주계약,재해사망보험금 + 재해사망보험금 + 재해사망보험금,피보험자가 보험기간 중 재해로 인하여 사망하였을 때,6억원,"3,000만원 원","3,748,500 원","1,662,300 원",3.00 %,-,-,85.0 %,80.7 %,-,-,-,-,보험기간(1년 초과),순수보장,비갱신형,비유니버셜,대면채널 방카슈랑스 CM,2026-03-03,"1. 가입나이 : 만15세 ~ 70세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 100세만기, 110세 만기 3. 보험료 예시기준 : 2종(표준형) 4형(상해보장형) 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납",1588-2288,file_15.xls,,,,
