Total rows: 622
Row 015: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 1,000만원 | 1,000만원 | 13800  원 | 9,500  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 016: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[암(기타피부암·갑상선암 제외)](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 1,000만원 | 1,000만원 | 37210  원 | 28,400  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 017: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[기타피부암·갑상선암](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘기타피부암’ 또는 ‘갑상선암’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 200만원 | 200만원 | 580  원 | 1,470  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 018: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 특정순환계질환 통합치료보장특약(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, '급여 MRI'를 받은 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 10만원 | 5,000만원 | 29282  원 | 17,199  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 019: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 특정순환계질환 통합치료보장특약(상급종합병원, 권역심뇌혈관질환센터)(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, 상급종합병원 또는 권역심뇌혈관질환센터에서 '급여 MRI'를 받은 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 10만원 | 5,000만원 | 14665  원 | 8,467  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 020: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 (1년 미만 50% 지급, 단 재해로 인한 사망시 제외) | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 15300  원 | 10,600  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
Row 021: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 특약 | 암주요치료보장특약Ⅱ[암(기타피부암·갑상선암 제외)](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 41490  원 | 31,860  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
Row 022: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 특약 | 암주요치료보장특약Ⅱ[기타피부암·갑상선암](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘기타피부암’ 또는 ‘갑상선암’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 100만원, 1년이상 200만원 | 200만원 | 650  원 | 1,660  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
Row 023: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 특약 | 특정순환계질환 통합치료보장특약(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, '급여 MRI'를 받은 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 5만원, 1년이상 10만원 | 5,000만원 | 35410  원 | 19,077  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
Row 024: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 특약 | 특정순환계질환 통합치료보장특약(상급종합병원, 권역심뇌혈관질환센터)(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, 상급종합병원 또는 권역심뇌혈관질환센터에서 '급여 MRI'를 받은 경우(연간 1회한, 1년 미만 50% 지급)※ 이외 보장담보는 상품요약서 참조 | 1년미만 5만원, 1년이상 10만원 | 5,000만원 | 17775  원 | 9,424  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
Row 025: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[일반가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 1,000만원 | 1,000만원 | 14700  원 | 10,100  원 | 2.50 % | - | - | 113.7 % | 117.5 % | -
Row 026: 한화생명 | 한화생명 시그니처 H통합보험 무배당(납입면제형)[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[암(기타피부암·갑상선암 제외)](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 1,000만원 | 1,000만원 | 38830  원 | 29,310  원 | 2.50 % | - | - | 113.7 % | 117.5 % | -
