보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
메리츠화재,(무) 메리츠 재물보험 성공메이트2601(2종),특약,화재(폭발및무과실포함)배상책임,"화재 또는 폭발사고로 타인의 신체 또는 재물에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해(단, 점주의 과실여부 불문)",1인당 1.5억원한도/1사고당 10억원한도,1인당 1.5억원한도/1사고당 10억원한도,,,,,,,,,file_38.xls,,,,화재(폭발및무과실포함)배상책임,"화재 또는 폭발사고로 타인의 신체 또는 재물에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해(단, 점주의 과실여부 불문)",1인당 1.5억원한도/1사고당 10억원한도,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 재물보험 성공메이트2601(2종),특약,화재손해,화재진화후 생긴 잔존물 제거비용 지급,화재손해보험금의 10%한도,화재손해보험금의 10%한도,,,,,,,,,file_38.xls,,,,화재손해,화재진화후 생긴 잔존물 제거비용 지급,화재손해보험금의 10%한도,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 재물보험 성공메이트2601(2종),특약,화재손해,"화재에 따른 직접손해,소방손해,피난손해에 따른 손해",1억원 한도 내 실손,1억원 한도 내 실손,,,,,,,,,file_38.xls,,,,,"화재에 따른 직접손해,소방손해,피난손해에 따른 손해",1억원 한도 내 실손,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,주계약,가족화재벌금(실손),"기명 피보험자, 기명 피보험자의 배우자, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하고, 주민등록상 동거 중인 동거 친족, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하는 별거중인 미혼 자녀가, 대한민국 내에서 벌금형의 원인이 되는 화재가 발생하고 형법 제170조(실화) 혹은 동법 제171조(업무상실화,중실화)에 따른 벌금형이 확정판결된 경우","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","8,649 원","8,649 원",,,,,,,file_38.xls,,한화손보,성공하는 Owner 재산종합보험 (무)2604,가족화재벌금(실손),"기명 피보험자, 기명 피보험자의 배우자, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하고, 주민등록상 동거 중인 동거 친족, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하는 별거중인 미혼 자녀가, 대한민국 내에서 벌금형의 원인이 되는 화재가 발생하고 형법 제170조(실화) 혹은 동법 제171조(업무상실화,중실화)에 따른 벌금형이 확정판결된 경우","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","8,649","8,649",97.0,97.0,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,특약,건물복구비용지원(화재),"화재(주택일 경우 폭발 및 파열 포함)로 인해 보험증권에 기재된 건물에 화재손해 및 소방 · 피난 손해가 발생하고, 피보험자가 해당 건물을 수리 또는 복구하고자 할 때",건물의 재조달가액과 보험가액에 따라 계산된 손해액의 차액(재조달차액)을 보험가입금액 한도 실손 보상,건물의 재조달가액과 보험가액에 따라 계산된 손해액의 차액(재조달차액)을 보험가입금액 한도 실손 보상,,,,,,,,,file_38.xls,,,,건물복구비용지원(화재),"화재(주택일 경우 폭발 및 파열 포함)로 인해 보험증권에 기재된 건물에 화재손해 및 소방 · 피난 손해가 발생하고, 피보험자가 해당 건물을 수리 또는 복구하고자 할 때",건물의 재조달가액과 보험가액에 따라 계산된 손해액의 차액(재조달차액)을 보험가입금액 한도 실손 보상,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,특약,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,보험가입금액 한도 실손 전부보상,,,,,,,,,file_38.xls,,,,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,특약,"화재배상책임Ⅲ(무과실책임포함,다중이용업소)",화재로 인해 타인을 사망케 하거나 부상 입혀 혹은 타인의 재물을 망그러뜨려 법률상의 배상책임을 부담시,대인배상 : 관계법령에서 정하는 금액 한도/ 대물배상 : 1사고당 보험가입금액 한도,대인배상 : 관계법령에서 정하는 금액 한도/ 대물배상 : 1사고당 보험가입금액 한도,,,,,,,,,file_38.xls,,,,"화재배상책임Ⅲ(무과실책임포함,다중이용업소)",화재로 인해 타인을 사망케 하거나 부상 입혀 혹은 타인의 재물을 망그러뜨려 법률상의 배상책임을 부담시,대인배상 : 관계법령에서 정하는 금액 한도/ 대물배상 : 1사고당 보험가입금액 한도,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,특약,화재상해후유장해(3-100%),"화재사고에 의한 상해로 후유장해가 발생한 경우 (단, 하나의 상해당 보험가입금액 한도)",보험가입금액×장해지급률,보험가입금액×장해지급률,,,,,,,,,file_38.xls,,,,화재상해후유장해(3-100%),"화재사고에 의한 상해로 후유장해가 발생한 경우 (단, 하나의 상해당 보험가입금액 한도)",보험가입금액×장해지급률,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,성공하는 Owner 재산종합보험 (무)2604,특약,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,file_38.xls,,,,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,한화 BigPlus 재산종합보험 (무)2604,주계약,가족화재벌금(실손),"기명 피보험자, 기명 피보험자의 배우자, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하고, 주민등록상 동거 중인 동거 친족, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하는 별거중인 미혼 자녀가, 대한민국 내에서 벌금형의 원인이 되는 화재가 발생하고 형법 제170조(실화) 혹은 동법 제171조(업무상실화,중실화)에 따른 벌금형이 확정판결된 경우","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","1,637 원","1,637 원",,,,,,,file_38.xls,,한화손보,한화 BigPlus 재산종합보험 (무)2604,가족화재벌금(실손),"기명 피보험자, 기명 피보험자의 배우자, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하고, 주민등록상 동거 중인 동거 친족, 기명 피보험자 또는 기명 피보험자의 배우자와 생계를 같이 하는 별거중인 미혼 자녀가, 대한민국 내에서 벌금형의 원인이 되는 화재가 발생하고 형법 제170조(실화) 혹은 동법 제171조(업무상실화,중실화)에 따른 벌금형이 확정판결된 경우","피보험자별 한도 내 실손보상- 형법 제170조: 1,500만원 한도- 형법 제171조: 2,000만원 한도","1,637","1,637",92.1,92.1,,,,,,,,,,,,,,,,,,,,
