보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,납입주기,source_file
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,강력범죄위로금,피보험자가 보험기간 중 “강력범죄”를 직접적인 원인으로 “신체피해로 전치 1개월을 초과하는 상해”가 발생하였을 경우 (동일사고에 의한 경우 1회에 한함),300만원(사고 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,깁스치료비,피보험자가 보험기간 중 질병 또는 재해로 “깁스(Cast)치료”를 받았을 경우,10만원(깁스치료 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,재해골절치료비,"피보험자가 보험기간 중 재해를 직접적인 원인으로 골절[치아파절(깨짐, 부러짐) 제외]이 발생하였을 경우",10만원(골절발생 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,응급실내원비,"피보험자가 보험기간 중 “응급환자”로 응급실에 내원하여 진료를 받았을 경우(다만, 1일 1회에 한함)",1만원(내원 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,재해입원비,피보험자가 보험기간 중 재해로 인한 직접적인 치료를 목적으로 1일 이상 입원하였을 경우,입원일수 1일당 1만원(1회 입원당지급일수 120일 한도),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,재해수술비,피보험자가 보험기간 중 재해를 직접적인 원인으로 수술을 받았을 경우,10만원(수술 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
교보생명,교보e상해케어보험 23.11 (무배당) (월납),주계약,특정외모상해수술비,"피보험자가 보험기간 중 “특정외모상해”로 진단확정되고, “특정외모상해”의 직접적인 치료를 목적으로 수술을 받았을 경우 ※ 다만, 연간 1회에 한함",30만원 (수술 1회당),"1,000만원","1,100 원",710 원,,,,,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납",,월납,file_12.xls
KB라이프생명,KB 골든라이프 안심보험 무배당(상해보장형) (월납),주계약,재해사망보험금,피보험자가 보험기간 중 보장개시일 이후에 재해분류표에서 정하는 재해로 인하여 사망하였을 때,6억원,3000만원,"252,670 원","177,398 원",,,,,"1. 가입나이: 만15세 ~ 최대 75세 2. 보험기간: 110세만기 3. 납입기간 : 3년, 4년, 5년, 7년, 10년납 4. 보험료(주계약) 기준 : 40세, 110세만기, 10년납, 월납, 가입금액 : 3,000만원 5. 보험가격지수 기준 : 40세, 110세만기, 10년납, 월납, 가입금액 : 3,000만원 6. 적용이율: 10년 이내 3.40%, 10년 이후 2.0%",,월납,file_12.xls
KB라이프생명,KB 골든라이프 안심보험 무배당(상해보장형) (월납),주계약,고도장해보험금,피보험자가 보험기간 중 보장개시일 이후에 동일한 재해 또는 재해 이외의 동일한 원인으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80%이상인 장해상태가 되었을 때,"9억원 (다만, 계약일로부터 1년이 되는 계약해당일의 전날까지 재해 이외의 동일한 원인으로 80%이상인 장해상태가 되었을 때는 4.5억원)",3000만원,"252,670 원","177,398 원",,,,,"1. 가입나이: 만15세 ~ 최대 75세 2. 보험기간: 110세만기 3. 납입기간 : 3년, 4년, 5년, 7년, 10년납 4. 보험료(주계약) 기준 : 40세, 110세만기, 10년납, 월납, 가입금액 : 3,000만원 5. 보험가격지수 기준 : 40세, 110세만기, 10년납, 월납, 가입금액 : 3,000만원 6. 적용이율: 10년 이내 3.40%, 10년 이후 2.0%",,월납,file_12.xls
한화생명,한화생명 스마트V상해보험 무배당 (월납),주계약,고도장해보험금,"피보험자가 보험기간 중 발생한 동일한 재해 또는 재해 이외의 동일한 원인으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80% 이상인 장해상태가 되었을 경우(최초 1회한)(1년 미만 50%(단, 재해로 인한 장해상태가 되었을 경우 제외) 지급)",3억원,"1,000만원","213,117 원","160,183 원",,,,,"1. 가입나이 : 만 15세 ~ 80세 2. 가입한도 : [70세 이하] 10만원 ~ 3,000만원  [71세 이상] 10만원 ~ 1,000만원  (단, 위험직급별 가입한도 이내) 3. 보험기간 : 110세 만기 4. 보험종류 : 1형(기본형), 2형(보장강화형) 5. 보험가격지수 기준 : 1형(기본형), 주계약 가입금액 3,000만원, 40세, 110세만기, 20년납 6. 주계약 보험료 기준 : 1형(기본형), 주계약 가입금액 1,000만원, 40세, 110세만기, 5년납",,월납,file_15.xls
한화생명,한화생명 포켓골절보험 무배당 (월납),주계약,재해골절진단자금,피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 보험기간 중 '재해골절'로 진단이 확정되었을 경우,5만원(1회당),5만원,98 원,71 원,,,,,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 5만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 만기환급형, 40세, 1년만기, 일시납, 주계약가입금액 5만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 5만원 7. 확정이율 : 2.75% * 특약 : 부가가능 특약 無",,월납,file_15.xls
한화생명,한화생명 간편가입 포켓골절보험 무배당 (월납),주계약,재해골절진단자금,피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 보험기간 중 '재해골절'로 진단이 확정되었을 경우,5만원(1회당),5만원,152 원,117 원,,,,,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 5만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 만기환급형, 40세, 1년만기, 일시납, 주계약가입금액 5만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 5만원 7. 확정이율 : 2.75% * 특약 : 부가가능 특약 無",,월납,file_15.xls
ABL생명,(무)더나은안심보험_2형(상해보장형) (월납),주계약,고도장해보험금,"피보험자가 보험기간 중 「동일한 재해 또는 재해 이외의 동일한 원인」으로 인하여 장해분류표 중 여러 신체부위의 장해지급률을 더하여 80%이상인 장해 상태가 되었을 때(다만, 최초 1회에 한하여 지급)","30,000만원 (다만, 계약일로부터 1년이 지난 보험계약해당일 전일 이전에 재해 이외의 원인으로 지급사유가 발생하였을 경우 상기금액의 50%를 지급)","1,000만원 원","35,367 원","15,367 원",,,,,"1. 가입나이 : (1형 장해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이)  (2형 상해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이) 2. 가입한도 : (1형 장해보장형) 65세 이하 - 100만원 ~ 7,000만원  66세 이상 - 100만원 ~ 4,000만원  (2형 상해보장형) 70세 이하 - 100만원 ~ 3,000만원  71세 이상 - 100만원 ~ 2,000만원 3. 보험종류  - 1형(장해보장형) - 기본형  - 2형(상해보장형) - 기본형 4. 보험기간 : 100세/110세 만기 5. 납입기간 : 5/7/10/15/20년납 6. 적용이율 : 가입 후 경과기간 10년 이내 3.00% / 10년 초과 2.00% 7. 보험료 예시기준 : 2형(상해보장형), 기본형, 가입금액 1,000만원, 40세, 100세만기, 20년납, 월납 8. 보험가격지수 예시기준 : 2형(상해보장형), 기본형, 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납",,월납,file_15.xls
ABL생명,(무)더나은안심보험_2형(상해보장형) (월납),주계약,재해사망보험금,피보험자가 보험기간 중 재해로 사망하였을 때,"20,000만원","1,000만원 원","35,367 원","15,367 원",,,,,"1. 가입나이 : (1형 장해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이)  (2형 상해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이) 2. 가입한도 : (1형 장해보장형) 65세 이하 - 100만원 ~ 7,000만원  66세 이상 - 100만원 ~ 4,000만원  (2형 상해보장형) 70세 이하 - 100만원 ~ 3,000만원  71세 이상 - 100만원 ~ 2,000만원 3. 보험종류  - 1형(장해보장형) - 기본형  - 2형(상해보장형) - 기본형 4. 보험기간 : 100세/110세 만기 5. 납입기간 : 5/7/10/15/20년납 6. 적용이율 : 가입 후 경과기간 10년 이내 3.00% / 10년 초과 2.00% 7. 보험료 예시기준 : 2형(상해보장형), 기본형, 가입금액 1,000만원, 40세, 100세만기, 20년납, 월납 8. 보험가격지수 예시기준 : 2형(상해보장형), 기본형, 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납",,월납,file_15.xls
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당) (월납),주계약,재해골절수술보험금,"보험기간 중 재해로 인하여 ""재해 골절"" 상태가 되고, ""재해골절""의 직접적인 치료를 목적 으로 ""재해골절수술""을 받았을 때 (치아의 파절 제외) (단, 보험연도 기준 연 3회한)",1회당 5만원,"1,000만원",75 원,75 원,,,,,"□ 필수기재사항 1. 가입나이 : -1종(골절수술보장형), 2종(스포츠안심보장형) : 20세~만64세  -3종(어린이골절수술보장형): 0세~ 만13세 2. 보험기간 : 1년 3. 보험료 예시기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 남자, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시 기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 1년만기, 일시납",,월납,file_15.xls
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당) (월납),주계약,5대재해골절수술보험금,"보험기간 중 재해로 인하여 ""5대 재해골절"" 상태가 되고, ""5대재해골절""의 직접적인 치료 를 목적으로 ""5대재해골절수술""을 받았을 때 (치아의 파절 및 비골의 골절 제외) (단, 최대 3회한)",1회당 25만원,"1,000만원",75 원,75 원,,,,,"□ 필수기재사항 1. 가입나이 : -1종(골절수술보장형), 2종(스포츠안심보장형) : 20세~만64세  -3종(어린이골절수술보장형): 0세~ 만13세 2. 보험기간 : 1년 3. 보험료 예시기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 남자, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시 기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 1년만기, 일시납",,월납,file_15.xls
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당) (월납),주계약,재해골절(치아파절제외) 진단보험금,"재해로 인하여 ""재해골절""상태가 되었을 때(발생 1회당) ※ 동일한 재해로 인하여 2가지 이상의 골절(복합골절)시 1회만 지급",10만원,"1,000만원",400 원,333 원,,,,,"□ 필수기재사항  1. 가입 나이 : 20세 ~ 만 64세  2. 보험 기간 : 1년  3. 보험료 예시 기준 : 납입기간 일시납, 40세, 가입금액 1,000만원 □ 선택기재사항  1. 가입한도  - 보험가입금액 : 500만원 ~ 1,000만원  2. 보험가격지수 예시기준  - 납입기간 일시납, 40세, 가입금액 1,000만원",,월납,file_15.xls
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당) (월납),주계약,깁스치료(부목제외) 보험금,"재해 또는 재해 이외의 원인으로 ""깁스(Cast)치료""를 받았을 때(1회당)",10만원,"1,000만원",400 원,333 원,,,,,"□ 필수기재사항  1. 가입 나이 : 20세 ~ 만 64세  2. 보험 기간 : 1년  3. 보험료 예시 기준 : 납입기간 일시납, 40세, 가입금액 1,000만원 □ 선택기재사항  1. 가입한도  - 보험가입금액 : 500만원 ~ 1,000만원  2. 보험가격지수 예시기준  - 납입기간 일시납, 40세, 가입금액 1,000만원",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),주계약,교통재해사망보험금,"보험기간 중 교통재해분류표에서 정하는 ""교통재해""로 인하여 사망하였을 경우","3,000만원","3,000만원",475 원,275 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),주계약,일반자동차탑승중교통재해사망보험금,"보험기간 중 ""일반자동차탑승중교통사고""로 인하여 사망하였을 경우","3,000만원","3,000만원",225 원,175 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),주계약,대중교통사고사망보험금,"보험기간 중 ""대중교통사고""로 인하여 사망하였을 경우","3,000만원","3,000만원",25 원,20 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),특약,교통재해장해특약,"보험기간 중 교통재해분류표에서 정하는 ""교통재해""로 인하여 장해분류표 중 장해지급률이 3%이상 100%이하에 해당하는 장해상태가 되었을 경우","3,000만원 ×해당 장해지급률","3,000만원",375 원,250 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),특약,일반자동차탑승중 교통재해장해특약,보험기간 중 “일반자동차탑승중 교통사고”로 인하여 장해분류표 중 장해지급률이 3%이상 100%이하에 해당하는 장해상태가 되었을 경우,"3,000만원 ×해당 장해지급률","3,000만원",300 원,225 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
삼성생명,삼성 s교통상해보험(2501)(무배당) (월납),특약,대중교통재해장해특약,보험기간 중 “대중교통사고”로 인하여 장해분류표 중 장해지급률이 3%이상 100%이하에 해당하는 장해상태가 되었을 경우,"3,000만원 ×해당 장해지급률","3,000만원",25 원,25 원,,,,,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험)  - 주계약 : 가입금액 3,000만원, 1년만기, 일시납  - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준  - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원,  40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능",,월납,file_15.xls
흥국생명,(무)처음만난흥국생명상해보험 (월납),주계약,"뺑소니,무보험차 교통재해 장해급여금","피보험자가 보험기간 중 보장개시일 이후에 제3조(“뺑소니,무보험차 교통재해”의 정의)에서 정한 뺑소니 ？ 무보험차에 의한 교통재해로 인하여 장해분류표에서 정한 장해지급률에 해당하는 장해상태가 되었을 때","남자 1,000만원 × 해당 장해지급률 / 여자 2,000만원 × 해당 장해지급률",10만원,250 원,250 원,,,,,"1. 가입나이 : 자녀형(0세~20세), 레저형 및 성인형(만15세~65세) 2. 보험기간 : 1년 3. 보험료 예시기준 : 1형(자녀형), 가입금액 1구좌(10만원), 1년만기, 일시납, 5세",,월납,file_15.xls
흥국생명,(무)처음만난흥국생명상해보험 (월납),주계약,일반재해 장해급여금,"피보험자가 보험기간 중 보장개시일 이후에 발생한 뺑소니,무보험차에 의한 교통재해 이외의 재해로 인하여 장해분류표에서 정한 장해지급률에 해당하는 장해상태가 되었을 때",남자 300만원 × 해당 장해지급률 / 여자 600만원 × 해당 장해지급률,10만원,250 원,250 원,,,,,"1. 가입나이 : 자녀형(0세~20세), 레저형 및 성인형(만15세~65세) 2. 보험기간 : 1년 3. 보험료 예시기준 : 1형(자녀형), 가입금액 1구좌(10만원), 1년만기, 일시납, 5세",,월납,file_15.xls
흥국생명,(무)처음만난흥국생명상해보험 (월납),주계약,재해골절 (치아파절 제외) 수술비,피보험자가 보험기간 중 보장개시일 이후에 재해로 인하여 제4조(“재해골절(치아파절 제외)”의 정의 및 진단확정)에서 정한 골절상태가 되어 그 치료를 직접적인 목적으로 수술을 받았을 때(수술 1회당),남자 10만원 / 여자 20만원,10만원,250 원,250 원,,,,,"1. 가입나이 : 자녀형(0세~20세), 레저형 및 성인형(만15세~65세) 2. 보험기간 : 1년 3. 보험료 예시기준 : 1형(자녀형), 가입금액 1구좌(10만원), 1년만기, 일시납, 5세",,월납,file_15.xls
흥국생명,(무)처음만난흥국생명상해보험 (월납),주계약,화상 및 부식 입원비,"피보험자가 보험기간 중 보장개시일 이후에 재해를 직접적인 원인으로 화상 및 부식 이 진단확정되고 그 화상 및 부식치료를 직접목적으로 하여 11일이상 계속입원 하였을 때(110일 한도, 10일초과 1일당)",남자 5만원 / 여자 10만원,10만원,250 원,250 원,,,,,"1. 가입나이 : 자녀형(0세~20세), 레저형 및 성인형(만15세~65세) 2. 보험기간 : 1년 3. 보험료 예시기준 : 1형(자녀형), 가입금액 1구좌(10만원), 1년만기, 일시납, 5세",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),주계약,경증 재해사고급여금,피보험자가 보험기간 중 보장개시일 이후에 재해를 원인으 로 약관 별표2(재해사고분류표)에서 정한 경증재해사고가 발생하였을 경우 (부위별로 연간 1회한),보험가입금액의 10%,"3,000만원","511,200 원","482,100 원",,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),주계약,중등증 재해사고급여금,피보험자가 보험기간 중 보장개시일 이후에 재해를 원인으 로 약관 별표2(재해사고분류표)에서 정한 중등증재해사고가 발생하였을 경우 (부위별로 연간 1회한),보험가입금액의 50%,"3,000만원","511,200 원","482,100 원",,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),주계약,중증 재해사고급여금,피보험자가 보험기간 중 보장개시일 이후에 재해를 원인으 로 약관 별표2(재해사고분류표)에서 정한 중증재해사고가 발생하였을 경우 (부위별로 연간 1회한),보험가입금액의 100%,"3,000만원","511,200 원","482,100 원",,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),특약,(무)OK신5대골절수술특약(갱신형),"피보험자가 보험기간 중 보장개시일 이후에 신5대골절로 진단확정 되고, 그 신5대골절의 치료를 직접적인 목적으로 수술을 받았을 때 (수술 1회당)",가입금액의 100%,100만원,70 원,60 원,,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),특약,(무)OK재해수술보장특약(갱신형),피보험자가 보험기간 중 보장개시일 이후에 재해로 인하여 그 치료를 직접적인 목적으로 하여 수술을 받았을 때 (수술 1회당),가입금액의 100%,10만원,357 원,237 원,,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),특약,(무)OK통합상해진단비특약(중증)(갱신형),피보험자가 보험기간 중 보장개시일 이후에 재해를 원인으 로 약관 별표2(재해사고분류표)에서 정한 중증재해사고가 발생하였을 경우 (부위별로 연간 1회한),가입금액의 100%,100만원,670 원,330 원,,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
흥국생명,(무)흥국생명 다사랑통합상해보험(갱신형) (월납),특약,(무)OK탈구및염좌과긴장수술특약(갱신형),"피보험자가 보험기간 중 보장개시일 이후에 탈구, 관절 및 인접근육의 염좌 및 과긴장으로 진단확정되고, 그 치료를 직접적인 목적으로 수술을 받았을 때 (수술 1회당)",가입금액의 100%,100만원,520 원,380 원,,,,,"""1. 가입나이 : 만15세 ~ 80세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 20년(단, 갱신계약의 경우 1~20년) , 30년(단, 갱신계약의 경우 1~30년) 3. 보험료 예시기준 : 가입금액 3,000만원, 20년만기, 전기납, 월납, 40세 (단, 자사 최대 가입한도는 10만원임)",,월납,file_15.xls
교보생명,교보e대중교통안심보험 (무배당) (월납),주계약,대중교통 재해사망보험금,"피보험자가 보험기간 중 ""대중교통 이용 중 교통재해""로 사망하였을 경우",보험가입금액의 100%,"1,000만원",438 원,298 원,,,,,"■필수기재사항 1. 가입나이 : 20세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납",,월납,file_15.xls
교보생명,교보e대중교통안심보험 (무배당) (월납),주계약,교통재해 장해급여금,"피보험자가 보험기간 중 ""교통재해""를 원인으로 장해분류표에서 정한 각 장해지급률 중 3%이상 100%이하에 해당하는 장해상태가 되었을 경우",보험가입금액 X 해당 장해지급률,"1,000만원",438 원,298 원,,,,,"■필수기재사항 1. 가입나이 : 20세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납",,월납,file_15.xls
