보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),주계약,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원","1,500만원",,,,,,,,,file_42.xls,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),주계약,운전자용 교통상해사망,교통상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다),1억원,1억원,,,,,,,,,file_42.xls,운전자용 교통상해사망,교통상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다),1억원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),주계약,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,500만원,,,,,,,,,file_42.xls,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),주계약,운전자용·벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원","3,000만원",,,,,,,,,file_42.xls,운전자용·벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원",,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),주계약,교통사고·처리지원금(Ⅸ)(비탑승중포함),"자동차(이륜자동차 제외)를 운전하던 중 또는 운전 후 비탑승 상태에서 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",교통사고·처리지원금(Ⅸ)(비탑승중포함),2억원,5990,4955,,,,,,,file_42.xls,메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),교통사고·처리지원금(Ⅸ)(비탑승중포함),"자동차(이륜자동차 제외)를 운전하던 중 또는 운전 후 비탑승 상태에서 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",2억원,"5,990","4,955",115.0,115.4,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),주계약,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원","1,500만원",,,,,,,,,file_42.xls,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),주계약,운전자용 교통상해사망,교통상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다),1억원,1억원,,,,,,,,,file_42.xls,운전자용 교통상해사망,교통상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다),1억원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),주계약,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,500만원,,,,,,,,,file_42.xls,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(2종),주계약,운전자용·벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원","3,000만원",,,,,,,,,file_42.xls,운전자용·벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원",,,,,,,,,,,,,,,,,,,,,,,,,,,
한화손보,"캐롯 운전자보험 (무) 2종(자가용, 표준형)",주계약,교통상해사망,,보험가입금액,,4301,3399,,,,,,,file_42.xls,한화손보,"캐롯 운전자보험 (무) 2종(자가용, 표준형)",교통상해사망,교통상해 사고로 사망하였을 때,보험가입금액,"4,301","3,399",97.2,96.2,,,,,,,,,,,,,,,,,,,,,
