Row 0: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미담 | 주계약 | 사망보험금(보장형 계약) | 피보험자가 보험기간(종신) 중 사망하였을 경우 | 보장형 계약 : 「보험가입금액, 직전 월계약해당일 기본보험료 적립액의 103%」중 큰 금액 + 사망보험금 지급사유 발생시점의 추가납입보험료 적립액(장기유지보너스 적립액 포함)을 지급 | 10,000만원 | 546,000  원 | 506,000  원 | 168.5 % | 172.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 1: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미담 | 주계약 | 사망보험금(적립형 계약) | 피보험자가 보험기간(종신) 중 사망하였을 경우 | 적립형 계약 : 보험가입금액 + 지급사유 발생당시의 계약자적립액(사망보험금이 '이미 납입한 보험료'보다 적은 경우 '이미 납입한 보험료'의 100%를 사망보험금으로 지급) | 10,000만원 | 546,000  원 | 506,000  원 | 168.5 % | 172.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 2: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미담 | 특약 | 납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우 | 주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 7,617  원 | 2,307  원 | 168.5 % | 172.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 3: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미담 | 특약 | 납입면제특약W 무배당 [50%장해 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 발생한 동일한 재해 또는 재해 이외의 동일한 원인으로 장해분류표 중 여러 신체부위의 장해지급률을 더하여 50% 이상인 장해상태가 된 경우 | 주계약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 1,026  원 | 314  원 | 168.5 % | 172.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 4: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미담 | 특약 | 납입면제특약W 무배당 [암 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단확정된 경우 | 주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 14,065  원 | 24,480  원 | 168.5 % | 172.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 5: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미래의 약속 | 주계약 | 사망보험금(보장형 계약) | 피보험자가 보험기간(종신) 중 사망하였을 경우 | 보장형 계약 : 「보험가입금액, 직전 월계약해당일 기본보험료 적립액의 103%」중 큰 금액 + 사망보험금 지급사유 발생시점의 추가납입보험료 적립액(장기유지보너스 적립액 포함)을 지급 | 10,000만원(고액계약 보험료 할인 적용) | 280,170  원 | 248,490  원 | 109.9 % | 107.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 6: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미래의 약속 | 주계약 | 사망보험금(적립형 계약) | 피보험자가 보험기간(종신) 중 사망하였을 경우 | 적립형 계약 : 보험가입금액 + 지급사유 발생당시의 계약자적립액(사망보험금이 '이미 납입한 보험료'보다 적은 경우 '이미 납입한 보험료'의 100%를 사망보험금으로 지급) | 10,000만원(고액계약 보험료 할인 적용) | 280,170  원 | 248,490  원 | 109.9 % | 107.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 7: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미래의 약속 | 특약 | 납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우 | 주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 5,923  원 | 1,704  원 | 109.9 % | 107.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 8: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미래의 약속 | 특약 | 납입면제특약W 무배당 [50%장해 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 발생한 동일한 재해 또는 재해 이외의 동일한 원인으로 장해분류표 중 여러 신체부위의 장해지급률을 더하여 50% 이상인 장해상태가 된 경우 | 주계약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 886  원 | 274  원 | 109.9 % | 107.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 9: 미래에셋생명 | 미래에셋생명 변액종신보험 무배당 미래의 약속 | 특약 | 납입면제특약W 무배당 [암 납입면제형] (일반가입형) | 피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단확정된 경우 | 주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제 | 0만원 | 11,020  원 | 16,704  원 | 109.9 % | 107.8 % | % | % | % | % | 기본형 | 일반 | - | 비유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
Row 10: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 주계약 | 사망보험금 | 피보험자가 보험기간(종신) 중 사망하였을 경우 | 「기본보험금, 직전 월계약해당일 계약자적립액의 103%, 이미 납입한 보험료」중 큰 금액을 지급 (다만, 간편고지형의 경우 「기본보험금(계약일로부터 2년 미만에 재해 이외의 원인으로 지급사유가 발생한 경우에는 보험가입금액의 50% 차감), 직전 월계약해당일 계약자적립액의 103%, 이미 납입한 보험료」 중 큰 금액을 지급) | 10,000만원(고액계약 보험료 할인 적용) | 248,490  원 | 215,820  원 | 97.5 % | 93.7 % | % | % | % | % | 기본형 | 일반 | 비갱신형 | 유니버셜 | 대면채널  기타 | 2026-01-01 | 1. 보험기간 : 종신 2. 보험종류 : 보장형 계약(일반가입형, 간편고지형), 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 일시납, 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 일시납, 월납 6. 보험가격지수 산출기준 : 일반가입형, 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형, 40세, 월납, 종신, 20년납, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험료 산출기준 : 100세만기, 20년납, 월납 9. 특이사항 : 「미래에셋생명 헤리티지 변액유니버셜종신보험 무배당」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다. | 1588-0220
