=== Unique values of 가입금액 ===
-: 96
10,000만원: 70
1,000만원: 35
0 원: 18
0만원: 13
10,000만원  원: 13
1억원: 9
10,000만원(고액계약 보험료 할인 적용): 8
10만원: 4
17,307,955 원: 1
25,157,122 원: 1
37,281,109 원: 1
49,819,468 원: 1
51,352,145 원: 1
53,047,977 원: 1
54,819,767 원: 1
57,623,658 원: 1
49,941,994 원: 1
51,462,841 원: 1
53,297,009 원: 1
3,376,142 원: 1
10,372,797 원: 1
17,708,268 원: 1
25,398,851 원: 1
38,127,720 원: 1
87,695,663 원: 1
50,162,854 원: 1
52,243,811 원: 1
54,680,575 원: 1
57,354,824 원: 1
61,601,324 원: 1
50,009,698 원: 1
51,985,910 원: 1
54,176,038 원: 1
56,468,343 원: 1
60,106,134 원: 1
2,581,926 원: 1
9,793,398 원: 1
17,348,892 원: 1
25,265,461 원: 1
37,470,190 원: 1
3,462,057 원: 1
10,641,841 원: 1
18,176,824 원: 1
26,084,614 원: 1
39,171,822 원: 1
49,877,048 원: 1
51,530,189 원: 1
53,376,362 원: 1
55,306,670 원: 1
58,367,225 원: 1
63,931,103 원: 1
70,101,849 원: 1
1만원: 1
1,000 만원: 1
남자 16,430, 여자 8,670 (주계약 10,000만원 기준): 1
남자 14,120, 여자 8,360 (주계약 10,000만원 기준): 1
남자 12,450, 여자 7,720 (주계약 10,000만원 기준): 1
남자 9,570, 여자 7,340 (주계약 10,000만원 기준): 1
23,497: 1
14,041: 1

=== Unique values of sub_type ===
variable_saving: 471
term_pure: 96
variable_term: 47
term_ceo: 41

=== Sample of term rows ===
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미담 | Gubun: 주계약 | Amount: 10,000만원 | Prem1: 546,000  원 | Prem2: 506,000  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미담 | Gubun: 주계약 | Amount: 10,000만원 | Prem1: 546,000  원 | Prem2: 506,000  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미담 | Gubun: 특약 | Amount: 0만원 | Prem1: 7,617  원 | Prem2: 2,307  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미담 | Gubun: 특약 | Amount: 0만원 | Prem1: 1,026  원 | Prem2: 314  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미담 | Gubun: 특약 | Amount: 0만원 | Prem1: 14,065  원 | Prem2: 24,480  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미래의 약속 | Gubun: 주계약 | Amount: 10,000만원(고액계약 보험료 할인 적용) | Prem1: 280,170  원 | Prem2: 248,490  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미래의 약속 | Gubun: 주계약 | Amount: 10,000만원(고액계약 보험료 할인 적용) | Prem1: 280,170  원 | Prem2: 248,490  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미래의 약속 | Gubun: 특약 | Amount: 0만원 | Prem1: 5,923  원 | Prem2: 1,704  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미래의 약속 | Gubun: 특약 | Amount: 0만원 | Prem1: 886  원 | Prem2: 274  원
Company: 미래에셋생명 | Product: 미래에셋생명 변액종신보험 무배당 미래의 약속 | Gubun: 특약 | Amount: 0만원 | Prem1: 11,020  원 | Prem2: 16,704  원
Company: 미래에셋생명 | Product: 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | Gubun: 주계약 | Amount: 10,000만원(고액계약 보험료 할인 적용) | Prem1: 248,490  원 | Prem2: 215,820  원
Company: 미래에셋생명 | Product: 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | Gubun: 특약 | Amount: 1,000만원 | Prem1: 14,410  원 | Prem2: 14,780  원
Company: 미래에셋생명 | Product: 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | Gubun: 특약 | Amount: 40만원 | Prem1: 1,216  원 | Prem2: 1,248  원
Company: 미래에셋생명 | Product: 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | Gubun: 특약 | Amount: 1000만원 | Prem1: 12,540  원 | Prem2: 8,960  원
Company: 미래에셋생명 | Product: 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | Gubun: 특약 | Amount: 1,000만원 | Prem1: 14,150  원 | Prem2: 9,340  원
Company: 메트라이프생명 | Product: 무배당 변액유니버셜 모두의상속종신보험(간편가입형) | Gubun: 주계약 | Amount: 10,000만원 | Prem1: 207,900  원 | Prem2: 185,300  원
Company: 메트라이프생명 | Product: 무배당 변액유니버셜 모두의상속종신보험(간편가입형) | Gubun: 특약 | Amount: 1,000만원 | Prem1: 1,100  원 | Prem2: 800  원
Company: 메트라이프생명 | Product: 무배당 변액유니버셜 모두의상속종신보험(간편가입형) | Gubun: 특약 | Amount: 200만원 | Prem1: 1,820  원 | Prem2: 2,780  원
Company: 메트라이프생명 | Product: 무배당 변액유니버셜 모두의상속종신보험(간편가입형) | Gubun: 특약 | Amount: 10만원 | Prem1: 3,700  원 | Prem2: 6,570  원
Company: 메트라이프생명 | Product: 무배당 변액유니버셜 모두의상속종신보험(간편가입형) | Gubun: 특약 | Amount: 1,000만원 | Prem1: 1,520  원 | Prem2: 220  원
