Row 339: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 주계약 | 10,000만원 | 577,000  원 | 330,000  원 | 143.8 %

Row 340: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 특약 | 0만원 | 25,711  원 | 12,731  원 | 143.8 %

Row 341: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 주계약 | 10,000만원 | 675,000  원 | 416,000  원 | 141.7 %

Row 342: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 특약 | 0만원 | 3,422  원 | 878  원 | 141.7 %

Row 1298: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 주계약 | 10,000만원 | 577,000  원 | 330,000  원 | 143.8 %

Row 1299: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 특약 | 0만원 | 25,711  원 | 12,731  원 | 143.8 %

Row 1300: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 주계약 | 10,000만원 | 675,000  원 | 416,000  원 | 141.7 %

Row 1301: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 특약 | 0만원 | 3,422  원 | 878  원 | 141.7 %

Row 1814: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [간편고지형/순수보장형] | 주계약 | 10,000만원 | 131000  원 | 69,000  원 | 2.00 %

Row 1815: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [간편고지형/순수보장형] | 특약 | 0만원 | 219  원 | 38  원 | 2.00 %

Row 1816: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [일반가입형/만기환급형] | 주계약 | 10,000만원 | 191000  원 | 120,000  원 | 2.00 %

Row 1817: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [일반가입형/만기환급형] | 주계약 | 10,000만원 | 191000  원 | 120,000  원 | 2.00 %

